Epoch,Iteration,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
0,0,3.946731,0.515,10.646095,0.43
0,2000,1.673382,0.535,1.671504,0.57
0,4000,1.67523,0.49,1.671539,0.57
0,6000,1.67697,0.45,1.671561,0.57
0,8000,1.673342,0.53,1.671584,0.57
0,10000,1.676953,0.445,1.671613,0.57
0,12000,1.673298,0.53,1.671644,0.57
0,14000,1.674289,0.505,1.671673,0.57
0,16000,1.674627,0.495,1.671709,0.57
0,18000,1.676262,0.45,1.671746,0.57
0,20000,1.674315,0.5,1.671792,0.57
0,22000,1.673914,0.51,1.671835,0.57
1,0,1.67373,0.515,1.67185,0.57
1,2000,1.673042,0.535,1.671911,0.57
1,4000,1.674425,0.49,1.671973,0.57
1,6000,1.675503,0.45,1.672043,0.57
1,8000,1.67319,0.53,1.672099,0.57
1,10000,1.675385,0.445,1.672166,0.57
1,12000,1.673195,0.53,1.672225,0.57
1,14000,1.673782,0.505,1.672269,0.57
1,16000,1.67398,0.495,1.672324,0.57
1,18000,1.674899,0.45,1.672374,0.57
1,20000,1.673813,0.5,1.672439,0.57
1,22000,1.673605,0.51,1.672488,0.57
2,0,1.673509,0.515,1.672508,0.57
2,2000,1.673167,0.535,1.672588,0.57
2,4000,1.673882,0.49,1.672664,0.57
2,6000,1.674395,0.45,1.672747,0.57
2,8000,1.673307,0.53,1.672798,0.57
2,10000,1.674317,0.445,1.672865,0.57
2,12000,1.673341,0.53,1.672914,0.57
2,14000,1.673607,0.505,1.672933,0.57
2,16000,1.673702,0.495,1.672968,0.57
2,18000,1.674119,0.45,1.672995,0.57
2,20000,1.67364,0.5,1.673047,0.57
2,22000,1.673555,0.51,1.673071,0.57
3,0,1.673516,0.515,1.673084,0.57
3,2000,1.673386,0.535,1.673155,0.57
3,4000,1.673676,0.49,1.673218,0.57
3,6000,1.67385,0.45,1.673289,0.57
3,8000,1.673483,0.53,1.673313,0.57
3,10000,1.673806,0.445,1.673359,0.57
3,12000,1.673509,0.53,1.673381,0.57
3,14000,1.673589,0.505,1.673363,0.57
3,16000,1.673623,0.495,1.67337,0.57
3,18000,1.67378,0.45,1.673367,0.57
3,20000,1.673605,0.5,1.673398,0.57
3,22000,1.673575,0.51,1.673394,0.57
